classementATP, prenom, nom, nationalite, dateNaissance
1	,'Novak', 'Djokovic',	'SRB',	'1987-05-22',
2	,'Rafael', 'Nadal',	'ESP',	'1986-06-03',
3	,'Daniil', 'Medvedev',	'RUS',	'1996-02-11',
4	,'Dominic', 'Thiem',	'AUT',	'1993-09-03',
5	,'Stefanos', 'Tsitsipas',	'GRE',	'1998-08-12',
6	,'Alexander', 'Zverev',	'GER',	'1997-04-20',
7	,'Andrey', 'Rublev',	'RUS',	'1997-10-20',
8	,'Roger', 'Federer',	'SUI',	'1981-08-08',
9	,'Diego Sebastian', 'Schwartzman',	'ARG',	'1992-08-16',
10	,'Matteo', 'Berrettini',	'ITA',	'1996-04-12',
11	,'Roberto', 'Bautista Agut',	'ESP',	'1988-04-14',
12	,'Pablo', 'Carreno Busta',	'ESP',	'1991-07-12,
13	,'David', 'Goffin',	'BEL',	'1990-12-07',
14	,'Denis', 'Shapovalov',	'CAN',	'1999-04-15',
15	,'Gael', 'Monfils',	'FRA',	'1986-09-01',
16	,'Hubert', 'Hurkacz',	'POL',	'1997-02-11',
17	,'Grigor', 'Dimitrov',	'BUL',	'1991-05-16',
18	,'Jannik', 'Sinner',	'ITA',	'2001-08-16',
19	,'Milos', 'Raonic',	'CAN',	'1990-12-27',
20	,'Felix', 'Auger Aliassime',	'CAN',	'2000-08-08',
21	,'Stanislas', 'Wawrinka',	'SUI',	'1985-03-28',
22	,'Casper', 'Ruud',	'NOR',	'1998-12-22',
23	,'Karen', 'Khachanov',	'RUS',	'1996-05-21',
24	,'Alex', 'De Minaur',	'AUS',	'1999-02-17',
25	,'Christian', 'Garin',	'CHI',	'1996-05-30',
26	,'Daniel', 'Evans',	'GBR',	'1990-05-23',
27	,'Aslan', 'Karatsev',	'RUS',	'1993-09-04',
28	,'Fabio', 'Fognini',	'ITA',	'1987-05-24',
29	,'Borna', 'Coric',	'CRO',	'1996-11-14',
30	,'Taylor Harry', 'Fritz',	'USA',	1997-10-28',
31	,'Nikoloz', 'Basilashvili',	'GEO',	'1992-02-23',
32	,'Ugo', 'Humbert',	'FRA',	'1998-06-26',
